text,created_at,text_token,text_token_s,text_si,text_sil
the body of missing princeton university student misrach ewunetie has been found. https://t.co/66wv0od5ut,2022-10-20 19:58:17+00:00,"['the', 'body', 'of', 'missing', 'princeton', 'university', 'student', 'misrach', 'ewunetie', 'has', 'been', 'found', 'https', 't', 'co', '66wv0od5ut']","['body', 'missing', 'princeton', 'university', 'student', 'misrach', 'ewunetie', 'found', '66wv0od5ut']",body missing princeton university student misrach ewunetie found 66wv0od5ut,body missing princeton university student misrach ewunetie found 66wv0od5ut
"uk prime minister liz truss quits after a disastrous six weeks in office, putting her on course to be britain's shortest-serving leader https://t.co/0o0xqscrxi",2022-10-20 12:37:10+00:00,"['uk', 'prime', 'minister', 'liz', 'truss', 'quits', 'after', 'a', 'disastrous', 'six', 'weeks', 'in', 'office', 'putting', 'her', 'on', 'course', 'to', 'be', 'britain', 's', 'shortest', 'serving', 'leader', 'https', 't', 'co', '0o0xqscrxi']","['uk', 'prime', 'minister', 'liz', 'truss', 'quits', 'disastrous', 'six', 'weeks', 'office', 'putting', 'course', 'britain', 'shortest', 'serving', 'leader', '0o0xqscrxi']",prime minister liz truss quits disastrous six weeks office putting course britain shortest serving leader 0o0xqscrxi,prime minister liz truss quits disastrous six weeks office putting course britain shortest serving leader 0o0xqscrxi
"trump weighs letting federal agents return to mar-a-lago, potentially for a supervised search, as the government seeks to ensure all docs are returned. https://t.co/ppjifj2qqq",2022-10-19 23:03:37+00:00,"['trump', 'weighs', 'letting', 'federal', 'agents', 'return', 'to', 'mar', 'a', 'lago', 'potentially', 'for', 'a', 'supervised', 'search', 'as', 'the', 'government', 'seeks', 'to', 'ensure', 'all', 'docs', 'are', 'returned', 'https', 't', 'co', 'ppjifj2qqq']","['trump', 'weighs', 'letting', 'federal', 'agents', 'return', 'mar', 'lago', 'potentially', 'supervised', 'search', 'government', 'seeks', 'ensure', 'docs', 'returned', 'ppjifj2qqq']",trump weighs letting federal agents return mar lago potentially supervised search government seeks ensure docs returned ppjifj2qqq,trump weighs letting federal agents return mar lago potentially supervised search government seeks ensure docs returned ppjifj2qqq
"britain's home secretary suella braverman quits, throwing the government of embattled prime minister liz truss into further turmoil. https://t.co/xizzmajsao",2022-10-19 16:17:29+00:00,"['britain', 's', 'home', 'secretary', 'suella', 'braverman', 'quits', 'throwing', 'the', 'government', 'of', 'embattled', 'prime', 'minister', 'liz', 'truss', 'into', 'further', 'turmoil', 'https', 't', 'co', 'xizzmajsao']","['britain', 'home', 'secretary', 'suella', 'braverman', 'quits', 'throwing', 'government', 'embattled', 'prime', 'minister', 'liz', 'truss', 'turmoil', 'xizzmajsao']",britain home secretary suella braverman quits throwing government embattled prime minister liz truss turmoil xizzmajsao,britain home secretary suella braverman quits throwing government embattled prime minister liz truss turmoil xizzmajsao
russian president vladimir putin signs a decree introducing martial law in four ukrainian regions that moscow recently claimed to have annexed https://t.co/i4d4skhrge,2022-10-19 12:02:15+00:00,"['russian', 'president', 'vladimir', 'putin', 'signs', 'a', 'decree', 'introducing', 'martial', 'law', 'in', 'four', 'ukrainian', 'regions', 'that', 'moscow', 'recently', 'claimed', 'to', 'have', 'annexed', 'https', 't', 'co', 'i4d4skhrge']","['russian', 'president', 'vladimir', 'putin', 'signs', 'decree', 'introducing', 'martial', 'law', 'four', 'ukrainian', 'regions', 'moscow', 'recently', 'claimed', 'annexed', 'i4d4skhrge']",russian president vladimir putin signs decree introducing martial law four ukrainian regions moscow recently claimed annexed i4d4skhrge,russian president vladimir putin signs decree introducing martial law four ukrainian regions moscow recently claimed annexed i4d4skhrge
rising food and housing costs drove uk inflation back to a 40-year high of 10.1% in september https://t.co/rzcvzuvhap,2022-10-19 09:04:45+00:00,"['rising', 'food', 'and', 'housing', 'costs', 'drove', 'uk', 'inflation', 'back', 'to', 'a', '40', 'year', 'high', 'of', '10', '1', 'in', 'september', 'https', 't', 'co', 'rzcvzuvhap']","['rising', 'food', 'housing', 'costs', 'drove', 'uk', 'inflation', 'back', '40', 'year', 'high', '10', '1', 'september', 'rzcvzuvhap']",rising food housing costs drove inflation back year high september rzcvzuvhap,rising food housing costs drove inflation back year high september rzcvzuvhap
jury finds paul flores guilty of first-degree murder in the death of kristin smart. his father was found not guilty of being an accessory to the murder. https://t.co/kiypga2ytv,2022-10-18 21:35:05+00:00,"['jury', 'finds', 'paul', 'flores', 'guilty', 'of', 'first', 'degree', 'murder', 'in', 'the', 'death', 'of', 'kristin', 'smart', 'his', 'father', 'was', 'found', 'not', 'guilty', 'of', 'being', 'an', 'accessory', 'to', 'the', 'murder', 'https', 't', 'co', 'kiypga2ytv']","['jury', 'finds', 'paul', 'flores', 'guilty', 'first', 'degree', 'murder', 'death', 'kristin', 'smart', 'father', 'found', 'guilty', 'accessory', 'murder', 'kiypga2ytv']",jury finds paul flores guilty first degree murder death kristin smart father found guilty accessory murder kiypga2ytv,jury finds paul flores guilty first degree murder death kristin smart father found guilty accessory murder kiypga2ytv
"russian expat who was the main source for infamous trump dossier is acquitted of lying to the fbi, an embarrassing defeat for special counsel durham
https://t.co/vu0cacf8zn",2022-10-18 20:29:03+00:00,"['russian', 'expat', 'who', 'was', 'the', 'main', 'source', 'for', 'infamous', 'trump', 'dossier', 'is', 'acquitted', 'of', 'lying', 'to', 'the', 'fbi', 'an', 'embarrassing', 'defeat', 'for', 'special', 'counsel', 'durham', 'https', 't', 'co', 'vu0cacf8zn']","['russian', 'expat', 'main', 'source', 'infamous', 'trump', 'dossier', 'acquitted', 'lying', 'fbi', 'embarrassing', 'defeat', 'special', 'counsel', 'durham', 'vu0cacf8zn']",russian expat main source infamous trump dossier acquitted lying fbi embarrassing defeat special counsel durham vu0cacf8zn,russian expat main source infamous trump dossier acquitted lying fbi embarrassing defeat special counsel durham vu0cacf8zn
"a pilot and passenger are dead after a plane crashed into a car dealership lot near marietta, ohio. authorities say no one on the ground was injured https://t.co/xoyydu8lb6",2022-10-18 16:00:21+00:00,"['a', 'pilot', 'and', 'passenger', 'are', 'dead', 'after', 'a', 'plane', 'crashed', 'into', 'a', 'car', 'dealership', 'lot', 'near', 'marietta', 'ohio', 'authorities', 'say', 'no', 'one', 'on', 'the', 'ground', 'was', 'injured', 'https', 't', 'co', 'xoyydu8lb6']","['pilot', 'passenger', 'dead', 'plane', 'crashed', 'car', 'dealership', 'lot', 'near', 'marietta', 'ohio', 'authorities', 'say', 'one', 'ground', 'injured', 'xoyydu8lb6']",pilot passenger dead plane crashed car dealership lot near marietta ohio authorities say one ground injured xoyydu8lb6,pilot passenger dead plane crashed car dealership lot near marietta ohio authorities say one ground injured xoyydu8lb6
ukraine's president zelensky says 30% of the country's power stations have been destroyed in russia's latest round of attacks https://t.co/dy8rz68qm8,2022-10-18 10:33:29+00:00,"['ukraine', 's', 'president', 'zelensky', 'says', '30', 'of', 'the', 'country', 's', 'power', 'stations', 'have', 'been', 'destroyed', 'in', 'russia', 's', 'latest', 'round', 'of', 'attacks', 'https', 't', 'co', 'dy8rz68qm8']","['ukraine', 'president', 'zelensky', 'says', '30', 'country', 'power', 'stations', 'destroyed', 'russia', 'latest', 'round', 'attacks', 'dy8rz68qm8']",ukraine president zelensky says country power stations destroyed russia latest round attacks dy8rz68qm8,ukraine president zelensky says country power stations destroyed russia latest round attacks dy8rz68qm8
