,Unnamed: 0,created_at,id,author_id,text,text_token,text_token_s,text_si,text_sil
0,0,2021-12-10 07:20:45+00:00,1469205428227784711,44196397,@albi_sidearms maybe i will …,"['albi_sidearms', 'maybe']","['albi_sidearms', 'maybe']",albi_sidearms maybe,albi_sidearms maybe
1,1,2021-12-10 07:19:05+00:00,1469205011687223298,44196397,@jack https://t.co/ueyr6nawap,"['jack', 'co', 'ueyr6nawap']","['jack', 'co', 'ueyr6nawap']",jack ueyr6nawap,jack ueyr6nawap
2,2,2021-12-10 06:44:19+00:00,1469196261953884160,44196397,@sawyermerritt 🤣🤣,['sawyermerritt'],['sawyermerritt'],sawyermerritt,sawyermerritt
3,3,2021-12-10 04:42:00+00:00,1469165476911755264,44196397,@sawyermerritt tesla china has done amazing work,"['sawyermerritt', 'tesla', 'china', 'done', 'amazing', 'work']","['sawyermerritt', 'tesla', 'china', 'done', 'amazing', 'work']",sawyermerritt tesla china done amazing work,sawyermerritt tesla china done amazing work
4,4,2021-12-10 04:21:25+00:00,1469160298158383109,44196397,@mrbeast 🙏,['mrbeast'],['mrbeast'],mrbeast,mrbeast
5,5,2021-12-10 04:20:58+00:00,1469160186233376774,44196397,@planet4589 earth should be called water,"['planet4589', 'earth', 'called', 'water']","['planet4589', 'earth', 'called', 'water']",planet4589 earth called water,planet4589 earth called water
6,6,2021-12-10 04:02:41+00:00,1469155585119690763,44196397,@samifouad 🤣,['samifouad'],['samifouad'],samifouad,samifouad
7,7,2021-12-10 03:59:06+00:00,1469154683113676802,44196397,@tobyliiiiiiiiii noobtoob,"['tobyliiiiiiiiii', 'noobtoob']","['tobyliiiiiiiiii', 'noobtoob']",tobyliiiiiiiiii noobtoob,tobyliiiiiiiiii noobtoob
8,8,2021-12-10 03:56:22+00:00,1469153995428085762,44196397,thinking of quitting my jobs &amp; becoming an influencer full-time wdyt,"['thinking', 'quitting', 'jobs', 'amp', 'becoming', 'influencer', 'full', 'time', 'wdyt']","['thinking', 'quitting', 'jobs', 'amp', 'becoming', 'influencer', 'full', 'time', 'wdyt']",thinking quitting jobs amp becoming influencer full time wdyt,thinking quitting jobs amp becoming influencer full time wdyt
9,9,2021-12-10 02:51:25+00:00,1469137649269153799,44196397,https://t.co/zrz1eflywy,"['co', 'zrz1eflywy']","['co', 'zrz1eflywy']",zrz1eflywy,zrz1eflywy
10,10,2021-12-09 20:43:05+00:00,1469044956736237568,44196397,@teslaownerssv 🔥🔥,['teslaownerssv'],['teslaownerssv'],teslaownerssv,teslaownerssv
11,11,2021-12-09 20:19:29+00:00,1469039017790525442,44196397,@billym2k @thecryptocpa 😬,"['billym2k', 'thecryptocpa']","['billym2k', 'thecryptocpa']",billym2k thecryptocpa,billym2k thecryptocpa
12,12,2021-12-09 18:11:56+00:00,1469006918240854025,44196397,@ballaerospace @nasa_marshall @nasa @spacex congrats!,"['ballaerospace', 'nasa_marshall', 'nasa', 'spacex', 'congrats']","['ballaerospace', 'nasa_marshall', 'nasa', 'spacex', 'congrats']",ballaerospace nasa_marshall nasa spacex congrats,ballaerospace nasa_marshall nasa spacex congrats
13,13,2021-12-09 18:11:43+00:00,1469006861588434959,44196397,@_rykllan @spacex @felixschlang @marcushouse @erdayastronaut @bluemoondance74 @nexthorizonssf rocket fleets grows,"['_rykllan', 'spacex', 'felixschlang', 'marcushouse', 'erdayastronaut', 'bluemoondance74', 'nexthorizonssf', 'rocket', 'fleets', 'grows']","['_rykllan', 'spacex', 'felixschlang', 'marcushouse', 'erdayastronaut', 'bluemoondance74', 'nexthorizonssf', 'rocket', 'fleets', 'grows']",_rykllan spacex felixschlang marcushouse erdayastronaut bluemoondance74 nexthorizonssf rocket fleets grows,_rykllan spacex felixschlang marcushouse erdayastronaut bluemoondance74 nexthorizonssf rocket fleets grows
14,14,2021-12-09 18:09:31+00:00,1469006308997226502,44196397,@squawkcnbc @gordonjohnson19 🤣🤣,"['squawkcnbc', 'gordonjohnson19']","['squawkcnbc', 'gordonjohnson19']",squawkcnbc gordonjohnson19,squawkcnbc gordonjohnson19
15,15,2021-12-09 18:00:34+00:00,1469004057004105730,44196397,@rainmaker1973 amazing engine!,"['rainmaker1973', 'amazing', 'engine']","['rainmaker1973', 'amazing', 'engine']",rainmaker1973 amazing engine,rainmaker1973 amazing engine
16,16,2021-12-09 17:39:45+00:00,1468998819283148819,44196397,@cnunezimages @spacex @spaceintellige3 💯,"['cnunezimages', 'spacex', 'spaceintellige3']","['cnunezimages', 'spacex', 'spaceintellige3']",cnunezimages spacex spaceintellige3,cnunezimages spacex spaceintellige3
17,17,2021-12-09 13:38:30+00:00,1468938104446894092,44196397,@rainmaker1973 shanghai is beautiful,"['rainmaker1973', 'shanghai', 'beautiful']","['rainmaker1973', 'shanghai', 'beautiful']",rainmaker1973 shanghai beautiful,rainmaker1973 shanghai beautiful
18,18,2021-12-09 07:09:45+00:00,1468840273849589762,44196397,@ppathole probably way sooner before it’s too hot for civilization,"['ppathole', 'probably', 'way', 'sooner', 'hot', 'civilization']","['ppathole', 'probably', 'way', 'sooner', 'hot', 'civilization']",ppathole probably way sooner hot civilization,ppathole probably way sooner hot civilization
19,19,2021-12-08 21:11:08+00:00,1468689628161052674,44196397,"unless susceptible to extreme natural disasters, nuclear power plants should not be shut down","['unless', 'susceptible', 'extreme', 'natural', 'disasters', 'nuclear', 'power', 'plants', 'shut']","['unless', 'susceptible', 'extreme', 'natural', 'disasters', 'nuclear', 'power', 'plants', 'shut']",unless susceptible extreme natural disasters nuclear power plants shut,unless susceptible extreme natural disasters nuclear power plants shut
20,20,2021-12-08 21:04:14+00:00,1468687890376970257,44196397,"@watcherguru taxing all billionaires at 100% only drops national debt by ~10%, which is just one year of deficit spending","['watcherguru', 'taxing', 'billionaires', '100', 'drops', 'national', 'debt', '10', 'one', 'year', 'deficit', 'spending']","['watcherguru', 'taxing', 'billionaires', '100', 'drops', 'national', 'debt', '10', 'one', 'year', 'deficit', 'spending']",watcherguru taxing billionaires 100 drops national debt one year deficit spending,watcherguru taxing billionaires 100 drops national debt one year deficit spending
21,21,2021-12-08 21:02:40+00:00,1468687495084847115,44196397,"@watcherguru this is scary, something’s got to give","['watcherguru', 'scary', 'something', 'got', 'give']","['watcherguru', 'scary', 'something', 'got', 'give']",watcherguru scary something got give,watcherguru scary something got give
22,22,2021-12-08 20:56:14+00:00,1468685877970935809,44196397,nothing is more permanent than a “temporary” government program,"['nothing', 'permanent', 'temporary', 'government', 'program']","['nothing', 'permanent', 'temporary', 'government', 'program']",nothing permanent temporary government program,nothing permanent temporary government program
23,23,2021-12-08 20:53:21+00:00,1468685150942908424,44196397,@traderjourney exactly!,"['traderjourney', 'exactly']","['traderjourney', 'exactly']",traderjourney exactly,traderjourney exactly
24,24,2021-12-08 20:52:56+00:00,1468685044239814666,44196397,there is a lot of accounting trickery in this bill that isn’t being disclosed to the public,"['lot', 'accounting', 'trickery', 'bill', 'disclosed', 'public']","['lot', 'accounting', 'trickery', 'bill', 'disclosed', 'public']",lot accounting trickery bill disclosed public,lot accounting trickery bill disclosed public
25,25,2021-12-08 20:51:04+00:00,1468684576407101440,44196397,"if “temporary” provisions in the build back better act become permanent, us national debt will increase by 24%! https://t.co/kkdpc45job","['temporary', 'provisions', 'build', 'back', 'better', 'act', 'become', 'permanent', 'us', 'national', 'debt', 'increase', '24', 'co', 'kkdpc45job']","['temporary', 'provisions', 'build', 'back', 'better', 'act', 'become', 'permanent', 'us', 'national', 'debt', 'increase', '24', 'co', 'kkdpc45job']",temporary provisions build back better act become permanent national debt increase kkdpc45job,temporary provisions build back better act become permanent national debt increase kkdpc45job
26,26,2021-12-08 19:19:15+00:00,1468661470619738115,44196397,@engineers_feed judith cohen (jack black’s mother) also did important work on apollo https://t.co/jborez8llw,"['engineers_feed', 'judith', 'cohen', 'jack', 'black', 'mother', 'also', 'important', 'work', 'apollo', 'co', 'jborez8llw']","['engineers_feed', 'judith', 'cohen', 'jack', 'black', 'mother', 'also', 'important', 'work', 'apollo', 'co', 'jborez8llw']",engineers_feed judith cohen jack black mother also important work apollo jborez8llw,engineers_feed judith cohen jack black mother also important work apollo jborez8llw
27,27,2021-12-08 17:29:13+00:00,1468633777593331713,44196397,@28delayslater https://t.co/jvsalwjfcj,"['28delayslater', 'co', 'jvsalwjfcj']","['28delayslater', 'co', 'jvsalwjfcj']",28delayslater jvsalwjfcj,28delayslater jvsalwjfcj
28,28,2021-12-08 17:28:03+00:00,1468633486097539078,44196397,@28delayslater https://t.co/ej9swabcfm,"['28delayslater', 'co', 'ej9swabcfm']","['28delayslater', 'co', 'ej9swabcfm']",28delayslater ej9swabcfm,28delayslater ej9swabcfm
29,29,2021-12-08 17:26:46+00:00,1468633161768878080,44196397,@28delayslater https://t.co/mo4bi8mnqt,"['28delayslater', 'co', 'mo4bi8mnqt']","['28delayslater', 'co', 'mo4bi8mnqt']",28delayslater mo4bi8mnqt,28delayslater mo4bi8mnqt
30,30,2021-12-08 17:24:31+00:00,1468632596213125123,44196397,@28delayslater 🧐,['28delayslater'],['28delayslater'],28delayslater,28delayslater
31,31,2021-12-08 17:21:49+00:00,1468631917138522115,44196397,https://t.co/fjaw6l5ba0,"['co', 'fjaw6l5ba0']","['co', 'fjaw6l5ba0']",fjaw6l5ba0,fjaw6l5ba0
32,32,2021-12-08 17:04:36+00:00,1468627585580126208,44196397,@waitbutwhy brain transplants,"['waitbutwhy', 'brain', 'transplants']","['waitbutwhy', 'brain', 'transplants']",waitbutwhy brain transplants,waitbutwhy brain transplants
33,33,2021-12-08 05:01:43+00:00,1468445663704793090,44196397,@jessica_kirsh @spacex booster production is currently ahead of engine production,"['jessica_kirsh', 'spacex', 'booster', 'production', 'currently', 'ahead', 'engine', 'production']","['jessica_kirsh', 'spacex', 'booster', 'production', 'currently', 'ahead', 'engine', 'production']",jessica_kirsh spacex booster production currently ahead engine production,jessica_kirsh spacex booster production currently ahead engine production
34,34,2021-12-08 05:00:06+00:00,1468445256576290818,44196397,@tesla_raj lot of people don’t realize that you can watch almost any show in a tesla,"['tesla_raj', 'lot', 'people', 'realize', 'watch', 'almost', 'show', 'tesla']","['tesla_raj', 'lot', 'people', 'realize', 'watch', 'almost', 'show', 'tesla']",tesla_raj lot people realize watch almost show tesla,tesla_raj lot people realize watch almost show tesla
